District,State,Slope_Category,Mean_Slope_Degrees,Max_Slope_Degrees,Runoff_Coefficient,Surface_Water_Flow_Speed,Waterlogging_Potential,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number
Visakhapatnam,Andhra Pradesh,Moderate,13.78,36.0,0.27,Fast,Low,27.0,3.9,64
Vizianagaram,Andhra Pradesh,Gentle,5.25,10.8,0.53,Moderate,Medium,53.0,7.4,79
Srikakulam,Andhra Pradesh,Flat,2.6,8.9,0.72,Slow,High,72.0,2.8,63
East Godavari,Andhra Pradesh,Very Flat,0.2,0.7,0.81,Very Slow,Extreme,81.0,7.0,74
West Godavari,Andhra Pradesh,Very Flat,0.95,3.4,0.92,Very Slow,Extreme,92.0,9.4,78
Krishna,Andhra Pradesh,Very Flat,0.57,2.1,0.81,Very Slow,Extreme,81.0,9.6,82
Guntur,Andhra Pradesh,Flat,2.43,8.8,0.71,Slow,High,71.0,5.1,79
Prakasam,Andhra Pradesh,Moderate,10.31,21.4,0.36,Fast,Low,36.0,6.9,57
Nellore,Andhra Pradesh,Flat,1.47,4.7,0.62,Slow,High,62.0,2.7,64
Kurnool,Andhra Pradesh,Gentle,3.62,10.8,0.43,Moderate,Medium,43.0,5.1,58
Kadapa,Andhra Pradesh,Gentle,6.54,18.2,0.59,Moderate,Medium,59.0,1.8,82
Anantapur,Andhra Pradesh,Gentle,6.44,20.6,0.61,Moderate,Medium,61.0,3.9,59
Chittoor,Andhra Pradesh,Gentle,5.07,15.3,0.57,Moderate,Medium,57.0,5.4,73
Alluri Sitharama Raju,Andhra Pradesh,Steep,30.92,100.0,0.26,Very Fast,Very Low,26.0,8.8,78
Anakapalli,Andhra Pradesh,Moderate,11.99,31.9,0.36,Fast,Low,36.0,11.6,71
Bapatla,Andhra Pradesh,Very Flat,0.21,0.8,0.8,Very Slow,Extreme,80.0,10.8,87
Eluru,Andhra Pradesh,Moderate,12.53,49.6,0.43,Fast,Low,43.0,6.8,69
Konaseema,Andhra Pradesh,Very Flat,0.1,0.2,0.87,Very Slow,Extreme,87.0,7.8,71
Parvathipuram Manyam,Andhra Pradesh,Steep,24.87,78.4,0.28,Very Fast,Very Low,28.0,2.7,81
Sri Sathya Sai,Andhra Pradesh,Gentle,4.19,10.1,0.65,Moderate,Medium,65.0,1.5,71
Tirupati,Andhra Pradesh,Gentle,4.0,9.2,0.4,Moderate,Medium,40.0,7.4,59
Hyderabad,Telangana,Flat,2.46,5.4,0.79,Slow,High,79.0,6.4,78
Rangareddy,Telangana,Flat,2.96,9.0,0.74,Slow,High,74.0,8.6,71
Medchal Malkajgiri,Telangana,Flat,1.34,3.7,0.62,Slow,High,62.0,7.8,72
Sangareddy,Telangana,Flat,1.38,3.7,0.73,Slow,High,73.0,0.7,71
Medak,Telangana,Gentle,6.65,15.8,0.44,Moderate,Medium,44.0,8.8,74
Nizamabad,Telangana,Moderate,9.6,19.5,0.41,Fast,Low,41.0,3.8,93
Kamareddy,Telangana,Gentle,6.5,13.5,0.52,Moderate,Medium,52.0,10.3,63
Jagtial,Telangana,Flat,1.9,7.5,0.77,Slow,High,77.0,11.3,95
Rajanna Sircilla,Telangana,Gentle,6.72,17.5,0.42,Moderate,Medium,42.0,3.8,97
Karimnagar,Telangana,Flat,2.04,5.9,0.69,Slow,High,69.0,4.3,75
Peddapalli,Telangana,Moderate,14.27,36.8,0.34,Fast,Low,34.0,7.4,56
Jayashankar Bhupalpally,Telangana,Moderate,13.15,27.2,0.44,Fast,Low,44.0,4.9,88
Mulugu,Telangana,Moderate,14.06,41.1,0.4,Fast,Low,40.0,8.9,74
Bhadradri Kothagudem,Telangana,Gentle,4.12,8.3,0.58,Moderate,Medium,58.0,11.2,75
Khammam,Telangana,Moderate,9.74,38.3,0.3,Fast,Low,30.0,5.4,61
Nalgonda,Telangana,Gentle,6.75,14.2,0.59,Moderate,Medium,59.0,10.2,58
Suryapet,Telangana,Gentle,6.74,19.3,0.57,Moderate,Medium,57.0,2.4,59
Yadadri Bhuvanagiri,Telangana,Flat,2.0,4.0,0.78,Slow,High,78.0,3.1,91
Mahabubnagar,Telangana,Flat,2.62,8.8,0.75,Slow,High,75.0,2.0,75
Nagarkurnool,Telangana,Moderate,14.6,45.0,0.41,Fast,Low,41.0,6.3,68
Wanaparthy,Telangana,Gentle,4.83,12.7,0.49,Moderate,Medium,49.0,5.0,56
Gadwal,Telangana,Moderate,14.51,39.8,0.38,Fast,Low,38.0,4.3,70
Narayanpet,Telangana,Moderate,13.98,42.7,0.38,Fast,Low,38.0,11.3,90
Vikarabad,Telangana,Flat,2.42,6.0,0.78,Slow,High,78.0,1.4,83
Siddipet,Telangana,Moderate,14.96,38.7,0.39,Fast,Low,39.0,8.3,74
Jangaon,Telangana,Flat,1.01,3.9,0.75,Slow,High,75.0,4.7,86
Warangal,Telangana,Gentle,6.33,24.2,0.49,Moderate,Medium,49.0,6.9,75
Hanamkonda,Telangana,Moderate,14.68,48.3,0.42,Fast,Low,42.0,8.4,62
Mahabubabad,Telangana,Gentle,6.19,15.7,0.5,Moderate,Medium,50.0,9.1,57
Nirmal,Telangana,Moderate,8.7,21.6,0.44,Fast,Low,44.0,2.1,76
Adilabad,Telangana,Gentle,4.63,12.6,0.43,Moderate,Medium,43.0,10.7,83
Kumuram Bheem,Telangana,Moderate,12.83,42.8,0.42,Fast,Low,42.0,5.2,85
Mancherial,Telangana,Flat,2.58,8.9,0.65,Slow,High,65.0,11.7,94
Asifabad,Telangana,Flat,2.74,8.4,0.75,Slow,High,75.0,3.5,75
